Date,Radial Distance from Sun(AU),Electronic Box Temperature(DegC),Out Board Sensor Temperature(DegC),In Board Sensor Temperature(DegC),Search Coil Magnetometers Temperature(DegC),Solar Array Angle(Deg),High Gain Antenna azimuth(Deg),High Gain Antenna Elevation(Deg),IBS_R,IBS_T,IBS_N,IBS_time,OBS_R,OBS_T,OBS_N
2023-08-10,0.650977994028261,4.29626338542198,-86.1119755141608,-75.0819462774374,-113.436408271772,29.8000214389258,-165.233542306029,-91.2972999968669,-0.1218496307650048,0.0758192534872483,-0.0659220750777105,389.0,-0.2831063730853707,0.1645477839339973,0.054007305392649
2023-08-11,0.638157934787594,4.3510561612473,-86.0924195805561,-75.173224763569,-113.322821571851,29.8000214389258,-165.147136551142,-91.266945973607,-0.1279379342577283,0.0356382691664333,-0.0754722151921592,389.0,-0.2912286077244221,0.113950794396999,0.059373138919768
2023-08-12,0.62508706997008,4.2597348682051,-86.4786492692483,-75.6549723292634,-112.513185507795,29.8000214389258,-165.068283896911,-91.2390595826636,-0.0242846143536973,0.0474259304640642,-0.1500810201070876,389.0,-0.2251101320770211,0.0942516918575654,0.0192501165398921
2023-08-13,0.611779061236817,4.30750292918102,-86.5128721530565,-75.8071031394826,-112.236728397421,29.8000214389258,-164.988826136321,-91.2074009329268,0.0453455045708129,0.0303447048056252,-0.1304150790139122,419.0,-0.2111177796887975,0.0676486219569802,0.0711412634739754
2023-08-14,0.59824796842586,4.37494019173526,-86.0093068627362,-75.4064920059052,-112.093783854021,29.8000214389258,-164.924556116196,-91.1820036319722,0.111888422225337,0.0552487051397502,-0.1755157260442,419.0,-0.1781939680065199,0.0953728575810456,0.0707124225041999
2023-08-15,0.584508246526623,4.41146870895215,-85.9506390619222,-75.3963499518906,-112.012070917387,29.8000214389258,-164.877108911169,-91.1589709665069,0.1214530052601594,0.0373803471042842,-0.1567211888621505,419.0,-0.2045656546079962,0.0878113721977739,0.0754472150192089
2023-08-16,0.5705747434101,4.61659038255463,-86.468871302446,-76.0555834628408,-112.627599956225,29.8000214389258,-164.803968289308,-91.1211453817461,0.1364196266961866,0.0653407559037234,-0.1094325113481994,419.0,-0.193414029189869,0.0912274533357149,0.0496276345803013
2023-08-17,0.556462695490903,4.68402764510888,-86.468871302446,-76.1874301650308,-112.711404046985,29.8000214389258,-164.754967548804,-91.0901519198512,0.0888797185362016,0.1429548001721353,-0.0017055092247334,419.0,-0.2431536936333434,0.1725884869435499,0.0888874269390243
2023-08-18,0.542187724053459,4.75146490766312,-86.498205202853,-76.3192768672209,-112.597300004247,29.8000214389258,-164.710708953883,-91.0582314865121,0.0741852859038515,0.1530203802874411,0.0382350364917877,419.0,-0.2417268228471601,0.1706097251335768,0.087628392912421
2023-08-19,0.527765830842822,4.858240573374,-85.9897509291316,-75.9643049767092,-112.444199204478,29.8000214389258,-164.672449924141,-91.0229550732227,0.0171808420213676,0.1461481046198697,0.0877404537093983,419.0,-0.2688178308449178,0.1434807979331899,0.1151059981923974
